term,forms,tags
hurry,"hurry, hurried, hurriedly, hurries, hurrying, unhurried, unhurriedly",1k
hurt,"hurt, hurter, hurters, hurtful, hurtfully, hurtfulness, hurting, hurts, unhurt",1k
husband,"husband, husbands",1k
i,"i, me, meself, mine, my, myself",1k
ice,"ice, iced, icily, icy, iciness",1k
idea,"idea, ideas",1k
if,"if, ifs",1k
imagine,"imagine, imaginable, imaginably, imaginary, imagination, imaginations, imaginative, imaginatively, imagined, imagines, imagining, imaginings, unimaginable, unimaginably, unimaginative, unimaginatively, unimagined",1k
important,"important, importantly, unimportant",1k
in,"in, inner, innermost, inward, inwardly, inwardness, inwards, ins",1k
indeed,indeed,1k
inform,"inform, info, informant, informants, information, informational, informed, informer, informers, informing, informs, misinform, misinformation, misinformations, misinformed, misinforming, misinforms, uninformed",1k
inside,"inside, insider, insiders, insides",1k
instead,instead,1k
insure,"insure, insurable, insurance, insurances, insured, insurer, insurers, insures, insuring, reinsurance, reinsure, reinsured, reinsures, reinsuring, uninsurable, uninsured",1k
interest,"interest, interested, interestedly, interesting, interestingly, interests, uninterested, uninteresting",1k
into,into,1k
involve,"involve, involved, involvement, involvements, involves, involving, uninvolved",1k
island,"island, islander, islanders, islands",1k
issue,"issue, issuance, issued, issuer, issuers, issues, issuing",1k
it,"it, its, itself",1k
job,"job, jobber, jobbers, jobbery, jobless, joblessness, jobs",1k
join,"join, joined, joining, joins, rejoin, rejoined, rejoining, rejoins",1k
joke,"joke, joked, joker, jokers, jokes, jokey, joking, jokingly",1k
judge,"judge, judged, judgement, judgemental, judgements, judges, judging, judgment, judgmental, judgments, misjudge, misjudged, misjudgement, misjudgements, misjudgment, misjudgments, misjudges, misjudging, prejudge, prejudged, prejudgement, prejudgements, prejudges, prejudging",1k
jump,"jump, jumped, jumper, jumpers, jumping, jumps, jumpy",1k
just,just,1k
keep,"keep, keeper, keepers, keepin, keeping, keeps, kept",1k
key,"key, keyed, keying, keys",1k
kick,"kick, kicked, kicker, kickers, kicking, kicks",1k
kid,"kid, kids, kiddy, kiddie, kiddies, kiddo",1k
kill,"kill, killed, killer, killers, killing, killings, kills",1k
kind,"kind, kinda, kinds",1k
king,"king, kingdom, kingdoms, kingly, kings, kingship, kingships",1k
kiss,"kiss, kissed, kisser, kisses, kissing, unkissed",1k
kitchen,"kitchen, kitchenette, kitchenettes, kitchens",1k
knock,"knock, knocked, knocker, knockers, knocking, knocks",1k
know,"know, dunno, knew, knowable, knowed, knowing, knowingly, known, knows, unknowable, unknowing, unknowingly, unknown, unknowns",1k
lady,"lady, ladies, ladylike, ladyship, ladyships, unladylike",1k
lake,"lake, lakes",1k
land,"land, landed, landing, landings, landless, lands, landward, landwards",1k
large,"large, largeish, largely, larger, largest, largish, largeness",1k
last,"last, lastly",1k
late,"late, lately, lateness, later, latest",1k
laugh,"laugh, laughable, laughably, laughed, laughing, laughingly, laughs",1k
law,"law, lawful, lawfully, lawfulness, lawless, lawlessness, laws, unlawful, unlawfully",1k
lay,"lay, laid, lain, laying, lays",1k
lazy,"lazy, lazier, laziest, lazily, laziness",1k
lead,"lead, leader, leaderless, leaders, leadership, leaderships, leading, leads, led, mislead, misleading, misleadingly, misleads, misled",1k
learn,"learn, learned, learnedly, learner, learners, learning, learns, learnt, relearn, relearned, relearning, relearns, unlearn, unlearned",1k
least,least,1k
leave,"leave, leaver, leavers, leaves, leaving, leavings, leavin",1k
left,"left, lefthand, lefthanded, lefthander, lefthanders, leftist, leftists, leftmost, lefts, leftward, leftwards",1k
leg,"leg, legged, legging, leggings, leggy, legless, legs",1k
less,"less, lessen, lessened, lessening, lessens, lesser",1k
let,"let, lemme, lets, letting",1k
letter,"letter, lettered, lettering, letterings, letters, unlettered",1k
level,"level, leveled, leveler, leveling, levelled, leveller, levellers, levelling, levelly, levels",1k
lie,"lie, liar, liars, lied, lies, lying",1k
life,"life, lifeless, lifelessly, lifelike, lifes, midlife",1k
lift,"lift, lifted, lifter, lifters, lifting, lifts",1k
light,"light, lighted, lighters, lighting, lights, lit, unlit",1k
like,"like, likeness, likenesses, unlike",1k
liked,"liked, likes, liking, likeable, likeably, likable",1k
line,"line, lined, lines, unlined",1k
lip,"lip, lipped, lips",1k
list,"list, listed, listing, listings, lists, unlisted",1k
listen,"listen, listened, listener, listeners, listening, listenings, listens",1k
little,"little, leetle, littleness, littler, littlest",1k
live,"live, lived, lives, living, livings, liveable, livable, unliveable",1k
load,"load, loaded, loader, loaders, loading, loadings, loads, reload, reloaded, reloading, reloads, unload, unloaded, unloading, unloads",1k
local,"local, localisation, localise, localised, localises, localising, localism, localization, localize, localized, localizes, localizing, locally, locals",1k
lock,"lock, lockable, locked, locking, locks, unlock, unlocked, unlocking, unlocks",1k
long,"long, longer, longest, longish",1k
look,"look, looked, looker, lookin, looking, looks, unlooked",1k
lord,"lord, lorded, lording, lordly, lords, lordship, lordships, lordy",1k
lose,"lose, loser, losers, loses, losing, lost",1k
lot,"lot, lots",1k
loud,"loud, louder, loudest, loudly, loudness",1k
love,"love, lovable, loveable, loved, loveless, lover, lovers, loves, lovey, loveys, loving, lovingly, luv, luvs, unlovable, unloved",1k
lovely,"lovely, lovelier, loveliest, loveliness, unlovely",1k
low,"low, lowish, lowlier, lowliest, lowly, lows",1k
luck,"luck, luckier, luckiest, luckily, luckless, lucky, unluckier, unluckiest, unluckily, unlucky",1k
lunch,"lunch, lunched, lunches, lunching",1k
machine,"machine, machined, machinery, machines, machining, machinist, machinists",1k
mad,"mad, madden, maddened, maddening, maddeningly, maddens, madder, maddest, madding, madly, madness",1k
main,"main, mainly, mains",1k
major,"major, majored, majoring",1k
make,"make, made, maker, makers, makes, making, makings, remade, remake, remakes, remaking, unmade, unmake",1k
man,"man, manfully, manhood, manliness, manly, unmanly, manned, manning, mannish, mans, men, mens, unmanned",1k
manage,"manage, manageable, managed, management, managements, manager, manageress, manageresses, managerial, managers, manages, managing, mismanage, mismanaged, mismanagement, mismanages, mismanaging, unmanageable",1k
many,many,1k
mark,"mark, marked, markedly, marker, markers, marking, markings, marks, unmarked",1k
market,"market, marketability, marketable, marketed, marketeer, marketeers, marketer, marketers, marketing, markets, nonmarket",1k
marry,"marry, intermarriage, intermarriages, intermarried, intermarries, intermarry, intermarrying, marriage, marriageable, marriages, married, marries, marrying, remarriage, remarriages, remarried, remarries, remarry, remarrying, unmarriageable, unmarried",1k
master,"master, mastered, masterful, mastering, masterly, masters, mastery",1k
matter,"matter, mattered, mattering, matters",1k
may,may,1k
maybe,maybe,1k
meal,"meal, meals",1k
mean,"mean, meaning, meaningful, meaningfully, meaningfulness, meaningless, meaninglessness, meanings, means, meant",1k
meet,"meet, meeting, meetings, meets, met, unmet",1k
member,"member, members, membership, memberships",1k
mention,"mention, mentioned, mentioning, mentions, unmentionable, unmentioned",1k
mess,"mess, messed, messes, messier, messiest, messily, messiness, messing, messy",1k
middle,"middle, middles, middling",1k
might,"might, mightn",1k
mile,"mile, mileage, mileages, miles",1k
milk,"milk, milked, milking, milks, milky",1k
million,"million, millions, millionth",1k
mind,"mind, minded, mindedly, mindedness, minder, minders, mindful, unmindful, mindfulness, minding, mindless, mindlessly, mindlessness, minds",1k
minute,"minute, min, mins, minutes",1k
miss,miss,1k
missed,"missed, misses, missing, unmissed",1k
mistake,"mistake, mistaken, mistakenly, mistakes, mistaking, mistook, unmistakable, unmistakably, unmistakeable, unmistakeably",1k
mister,"mister, mr",1k
moment,"moment, momentarily, momentary, moments",1k
monday,"monday, mon, mondays",1k
money,"money, moneyed, moneys, monied, monies",1k
month,"month, monthly, months",1k
more,more,1k
morning,"morning, morn, mornin, mornings",1k
most,"most, mostly",1k
mother,"mother, mothered, motherhood, mothering, motherly, mothers, motherless",1k
mountain,"mountain, mountaineer, mountaineering, mountaineers, mountainous, mountains, mountainside, mountainsides",1k
mouth,"mouth, mouthed, mouthful, mouthfuls, mouthing, mouthings, mouths, mouthy",1k
move,"move, immovable, immoveable, movable, moveable, moved, movement, movements, mover, movers, moves, moving, movingly, unmovable, unmoveable, unmoved, unmoving",1k
movie,"movie, movies",1k
mrs,"mrs, missis, missus, missuses, miz",1k
much,much,1k
mum,"mum, mam, mammies, mammy, mams, mom, mommies, mommy, moms, mummy, mums",1k
music,"music, musical, musically, musicals, musician, musicians, musicianship, musics",1k
must,"must, mustn, musta",1k
name,"name, misnamed, misnaming, named, nameless, namely, names, naming, rename, renamed, renames, renaming, renamings, unnamed",1k
nation,"nation, national, nationalisation, nationalisations, nationalise, nationalised, nationalising, nationalism, nationalisms, nationalist, nationalistic, nationalistically, nationalists, nationalization, nationalize, nationalized, nationalizing, nationally, nationals, nationhood, nationhoods, nations, nationwide",1k
nature,"nature, natural, naturalism, naturalist, naturalistic, naturalistically, naturalists, naturally, naturalness, natured, naturedly, natures, unnatural, unnaturally",1k
naughty,"naughty, naughtier, naughtiest, naughtily, naughtiness",1k
near,"near, nearby, neared, nearer, nearest, nearing, nearly, nearness, nears, nearside",1k
neat,"neat, neater, neatest, neatly, neatness",1k
necessary,"necessary, necessaries, necessarily, unnecessarily, unnecessary",1k
neck,"neck, necked, necking, necks",1k
need,"need, needed, needful, needing, needless, needlessly, needn, needs, unneeded",1k
neighbour,"neighbour, neighbor, neighborhood, neighborhoods, neighboring, neighborliness, neighborly, neighbors, neighbourhood, neighbourhoods, neighbouring, neighbourliness, neighbourly, neighbours",1k
never,never,1k
new,"new, newer, newest, newish, newly, newness, renew, renewable, renewables, renewal, renewals, renewed, renewing, renews",1k
news,"news, newsy",1k
next,next,1k
nice,"nice, nicely, niceness, nicer, nicest",1k
night,"night, nightly, nights, nts",1k
nine,"nine, niner, niners, nines, nineteen, nineteenth, nineteenths, nineties, ninetieth, ninetieths, ninety, ninth, ninths",1k
no,"no, noes, nothing, nothin, nothingness, nothings, nowt, nuffink, nobody, nobodies, nowhere, nohow",1k
noise,"noise, noiseless, noiselessly, noises, noisier, noisiest, noisily, noisy",1k
none,none,1k
normal,"normal, normalisation, normalise, normalised, normalises, normalising, normality, normalization, normalize, normalized, normalizes, normalizing, normally",1k
north,"north, ne, nne, nnw, northerlies, northerly, northernmost, northward, northwards, northwest, nw",1k
nose,"nose, nosed, noseless, noses, nosing",1k
not,"not, nots, nt, t",1k
note,"note, notable, notables, notably, noted, notes, noting",1k
notice,"notice, noticeable, noticeably, noticed, notices, noticing, unnoticeable, unnoticed",1k
now,now,1k
number,"number, nos, numbered, numbering, numberless, numbers, renumber, renumbered, renumbering, renumbers, unnumbered",1k
nurse,"nurse, nursed, nurses, nursing",1k
obvious,"obvious, obviously, obviousness",1k
odd,"odd, odder, oddest, oddities, oddity, oddly, oddness, odds",1k
of,of,1k
off,"off, offs, orf",1k
offer,"offer, offered, offeree, offerees, offerer, offerers, offering, offerings, offeror, offerors, offers",1k
office,"office, offices",1k
officer,"officer, officers",1k
often,"often, oft",1k
oil,"oil, oiled, oiler, oilers, oiliness, oiling, oils, oily, unoiled",1k
ok,"ok, okay, okey",1k
old,"old, olde, olden, older, oldest, oldie, oldies, oldish, oldy",1k
on,"on, onto",1k
once,once,1k
one,"one, noone, oneness, ones, oneself",1k
only,only,1k
open,"open, opened, opener, openers, opening, openings, openly, openness, opens, reopen, reopened, reopening, reopens, unopened",1k
or,"or, ors",1k
orange,"orange, orangeish, oranges, orangey, orangish, orangy",1k
order,"order, ordered, ordering, orderlies, orderliness, orderly, orders, reorder, reordered, reordering, reorders, unordered",1k
